Date,close,high,low,open,volume
2017-12-12,2664.110107421875,2669.719970703125,2659.780029296875,2661.72998046875,3568910000
2017-12-13,2662.85009765625,2671.8798828125,2662.85009765625,2667.590087890625,3568360000
2017-12-14,2652.010009765625,2668.090087890625,2652.010009765625,2665.8701171875,3442760000
2017-12-15,2675.81005859375,2679.6298828125,2659.139892578125,2660.6298828125,5736910000
2017-12-18,2690.159912109375,2694.969970703125,2685.919921875,2685.919921875,3727770000
2017-12-19,2681.469970703125,2694.43994140625,2680.739990234375,2692.7099609375,3407680000
2017-12-20,2679.25,2691.010009765625,2676.110107421875,2688.179931640625,3246230000
2017-12-21,2684.570068359375,2692.639892578125,2682.39990234375,2683.02001953125,3293130000
2017-12-22,2683.340087890625,2685.35009765625,2678.1298828125,2684.219970703125,2401030000
2017-12-26,2680.5,2682.739990234375,2677.9599609375,2679.090087890625,1970660000
2017-12-27,2682.6201171875,2685.639892578125,2678.909912109375,2682.10009765625,2202900000
2017-12-28,2687.5400390625,2687.659912109375,2682.68994140625,2686.10009765625,2174890000
2017-12-29,2673.610107421875,2692.1201171875,2673.610107421875,2689.14990234375,2447760000
2018-01-02,2695.81005859375,2695.889892578125,2682.360107421875,2683.72998046875,3397430000
2018-01-03,2713.06005859375,2714.3701171875,2697.77001953125,2697.85009765625,3544030000
2018-01-04,2723.989990234375,2729.2900390625,2719.070068359375,2719.31005859375,3697340000
2018-01-05,2743.14990234375,2743.449951171875,2727.919921875,2731.330078125,3239280000
2018-01-08,2747.7099609375,2748.510009765625,2737.60009765625,2742.669921875,3246160000
2018-01-09,2751.2900390625,2759.139892578125,2747.860107421875,2751.14990234375,3467460000
2018-01-10,2748.22998046875,2750.800048828125,2736.06005859375,2745.550048828125,3579900000
2018-01-11,2767.56005859375,2767.56005859375,2752.780029296875,2752.969970703125,3645690000
2018-01-12,2786.239990234375,2787.85009765625,2769.639892578125,2770.179931640625,3587220000
2018-01-16,2776.419921875,2807.5400390625,2768.639892578125,2798.9599609375,4362880000
2018-01-17,2802.56005859375,2807.0400390625,2778.3798828125,2784.989990234375,3790340000
2018-01-18,2798.030029296875,2805.830078125,2792.56005859375,2802.39990234375,3703300000
2018-01-19,2810.300048828125,2810.330078125,2798.080078125,2802.60009765625,3724230000
2018-01-22,2832.969970703125,2833.030029296875,2808.1201171875,2809.159912109375,3489480000
2018-01-23,2839.1298828125,2842.239990234375,2830.590087890625,2835.050048828125,3541140000
2018-01-24,2837.5400390625,2852.969970703125,2824.81005859375,2845.419921875,4079270000
2018-01-25,2839.25,2848.56005859375,2830.93994140625,2846.239990234375,3873100000
2018-01-26,2872.8701171875,2872.8701171875,2846.179931640625,2847.47998046875,3474680000
2018-01-29,2853.530029296875,2870.6201171875,2851.47998046875,2867.22998046875,3587420000
2018-01-30,2822.429931640625,2837.75,2818.27001953125,2832.739990234375,4012070000
2018-01-31,2823.81005859375,2839.260009765625,2813.0400390625,2832.409912109375,4276270000
2018-02-01,2821.97998046875,2835.9599609375,2812.699951171875,2816.449951171875,3977380000
2018-02-02,2762.1298828125,2808.919921875,2759.969970703125,2808.919921875,4340220000
2018-02-05,2648.93994140625,2763.389892578125,2638.169921875,2741.06005859375,5310840000
2018-02-06,2695.139892578125,2701.0400390625,2593.070068359375,2614.780029296875,5917350000
2018-02-07,2681.659912109375,2727.669921875,2681.330078125,2690.949951171875,4646300000
2018-02-08,2581.0,2685.27001953125,2580.56005859375,2685.010009765625,5333840000
