Date,close,high,low,open,volume
2022-12-22,3822.389892578125,3853.260009765625,3764.489990234375,3853.260009765625,3956950000
2022-12-23,3844.820068359375,3845.800048828125,3797.010009765625,3815.110107421875,2819280000
2022-12-27,3829.25,3846.64990234375,3813.219970703125,3843.340087890625,3030300000
2022-12-28,3783.219970703125,3848.320068359375,3780.780029296875,3829.56005859375,3083520000
2022-12-29,3849.280029296875,3858.18994140625,3805.449951171875,3805.449951171875,3003680000
2022-12-30,3839.5,3839.85009765625,3800.340087890625,3829.06005859375,2979870000
2023-01-03,3824.139892578125,3878.4599609375,3794.330078125,3853.2900390625,3959140000
2023-01-04,3852.969970703125,3873.159912109375,3815.77001953125,3840.360107421875,4414080000
2023-01-05,3808.10009765625,3839.739990234375,3802.419921875,3839.739990234375,3893450000
2023-01-06,3895.080078125,3906.18994140625,3809.56005859375,3823.3701171875,3923560000
2023-01-09,3892.090087890625,3950.570068359375,3890.419921875,3910.820068359375,4311770000
2023-01-10,3919.25,3919.830078125,3877.2900390625,3888.570068359375,3851030000
2023-01-11,3969.610107421875,3970.070068359375,3928.5400390625,3932.35009765625,4303360000
2023-01-12,3983.169921875,3997.760009765625,3937.56005859375,3977.570068359375,4440260000
2023-01-13,3999.090087890625,4003.949951171875,3947.669921875,3960.60009765625,3939700000
2023-01-17,3990.969970703125,4015.389892578125,3984.570068359375,3999.280029296875,4235560000
2023-01-18,3928.860107421875,4014.159912109375,3926.590087890625,4002.25,4298710000
2023-01-19,3898.85009765625,3922.93994140625,3885.5400390625,3911.840087890625,3991500000
2023-01-20,3972.610107421875,3972.9599609375,3897.860107421875,3909.0400390625,4013360000
2023-01-23,4019.81005859375,4039.31005859375,3971.639892578125,3978.139892578125,3945210000
2023-01-24,4016.949951171875,4023.919921875,3989.7900390625,4001.739990234375,3320430000
2023-01-25,4016.219970703125,4019.550048828125,3949.06005859375,3982.7099609375,3724020000
2023-01-26,4060.429931640625,4061.570068359375,4013.2900390625,4036.080078125,3809590000
2023-01-27,4070.56005859375,4094.2099609375,4048.699951171875,4053.719970703125,3907760000
2023-01-30,4017.77001953125,4063.85009765625,4015.550048828125,4049.27001953125,3802000000
2023-01-31,4076.60009765625,4077.159912109375,4020.43994140625,4020.85009765625,4679320000
2023-02-01,4119.2099609375,4148.9501953125,4037.199951171875,4070.070068359375,4856930000
2023-02-02,4179.759765625,4195.43994140625,4141.8798828125,4158.68017578125,5624360000
2023-02-03,4136.47998046875,4182.35986328125,4123.35986328125,4136.68994140625,4694510000
2023-02-06,4111.080078125,4124.6298828125,4093.3798828125,4119.56982421875,4114240000
2023-02-07,4164.0,4176.5400390625,4088.389892578125,4105.35009765625,4355860000
2023-02-08,4117.85986328125,4156.85009765625,4111.669921875,4153.47021484375,4029820000
2023-02-09,4081.5,4156.22998046875,4069.669921875,4144.25,4270200000
2023-02-10,4090.4599609375,4094.360107421875,4060.7900390625,4068.919921875,3891520000
2023-02-13,4137.2900390625,4138.89990234375,4092.669921875,4096.6201171875,3448620000
2023-02-14,4136.1298828125,4159.77001953125,4095.010009765625,4126.7001953125,3929200000
2023-02-15,4147.60009765625,4148.10986328125,4103.97998046875,4119.5,4075980000
2023-02-16,4090.409912109375,4136.5400390625,4089.489990234375,4114.75,4143660000
2023-02-17,4079.090087890625,4081.510009765625,4047.949951171875,4077.389892578125,4045480000
2023-02-21,3997.340087890625,4052.35009765625,3995.18994140625,4052.35009765625,4121590000
